,	,
yahitaga
nguhe
ubayeho
dusangiye
kumurega
ningende
amagrenade
isigaye
twibuka
salo
ibe
pasteur
baseka
umbajije
cyambabaje
mvura
yarangiye
wambwira
abayoboke
Ubwigenge
abakomeretse
bagerageza
mirima
Ahari
8
garuka
niciye
kabgayi
bahisha
ngwa
birahari
Bambwiye
Niboye
naravutse
Josephine
bababwira
inzobe
Commission
Uti
gusubirayo
yategekwaga
imyobo
Donatien
araha
kwirukanka
Juvenal
mihanda
warakoze
Kugera
Mutara
uziga
amavuko
rwange
bakiza
ducanye
indwi
najyagayo
introduction
Damascène
Amashyaka
ubyumva
ngifite
Afite
nashaka
ndamutse
bugende
Ibyiza
mpereye
akanjyana
kubimbwira
bavugije
Mushubati
ngusabye
yaramaze
barahungiye
wagarutse
byobo
azapfa
Arimyoza
babanye
byashoboka
babatwaye
yasubiye
abafashwe
nzongera
somo
h'
ariruka
udufaranga
bon
giturutse
igomba
tukubaze
Bazaga
banyita
yiruka
bagombye
babantu
Baramubwira
Generale
bigisha
warokokeye
Robert
bitandukanye
Ajya
ikabuga
babyara
ipantaro
mpasanga
twiganye
ahera
nzibutso
abakene
icumbi
résponsabilités
mpuye
yaravugaga
Safari
ijwi
Twese
wambabariye
subira
batotejwe
Chantal
wiyumvaga
twatandukanye
ibikorwa
kumezi
arabibabwira
Mfata
Ndahaba
Rurangiza
abazwa
twapfuye
buzaza
numvishije
kwangana
bandashe
ukonguko
ababishe
igituma
baga
90
urupangu
napfuye
imyumbati
kudufata
yaduhaye
ruswa
Z'
Harya
bazisabye
babavanaga
yahuye
societé
insina
mukora
twihishaga
bakobwa
Ingabo
ziraje
uzaze
police
............
zisigaye
Birasa
ukwiye
baramukubita
naryo
wayoboraga
ubunyamaswa
bakarya
Kigeli
image
amakondera
kujyenda
twana
asubira
ndaceceka
ga
bafatwa
ibyiringiro
utekereje
nkamubwira
ibinyoma
bwagejeje
zibonye
wibutse
twabagamo
ababigizemo
bamushyiriye
yakomeretse
atashye
njyenda
kumbaho
yigaga
commun
Wumvaga
ahageze
kaje
Gasabo
tugwa
hazaba
akabari
mwabaga
Claire
ibyakubayeho
nahita
Utazi
nimureke
misa
babajugunya
urufaya
atyo
bangaga
Olivier
intera
bazagira
ubufaransa
igaraje
mpamara
nt'
natanze
tubanye
50
Karama
AERG
nkibyo
bategereje
gukorera
buriho
yakoreye
umwanzuro
U
gukorana
Agatha
ikigali
kahe
uwapfuye
kimaze
wabimbwiye
ukamenya
ntitwari
wakwiciye
abazaga
cercle
wabanaga
uruhe
Secteur
Kimwe
KAJEVUBA
itotezwa
zahise
baragendaga
giteye
gushyiramo
zimwe
tukaganira
byerekeranye
iGisenyi
Grâce
kuguma
Muzehe
uhakana
gutabaza
dutyo
dufitanye
imvururu
baramurashe
ishira
babakobwa
site
wicare
twananiwe
mubonye
bicanye
guhisha
waduha
Galican
mukandutiye
amuha
afatwa
mfitemo
94
wibaza
musanga
butangiye
ndakora
yaturutse
twaza
imfunguzo
Turagirango
sœur
barababwira
mbaraga
navukiye
Kanani
ntiyigeze
umugoroba
16
ndagirango
bazira
batwishe
gucunga
Gihara
namazemo
Ubwoba
bagatera
nkubwira
Nicara
batwitse
yaravuye
Uwihanganye
Mahoro
kubimubwira
ntahantu
mugize
gutukana
5
ntabashije
Wabishe
yubu
Nyarunazi
kumpamagara
narimfite
ibirego
kubatera
igifungo
ukugira
bikaza
icyayi
Gabriel
nkamwe
batabare
Y'
cote
urashaka
amashara
umugisha
bigishije
njyamo
ugakomeza
twasubiye
rwandatel
vis
muburyo
Banza
igarutse
umbabarire
bakakubwira
intoki
bitabo
guhangayika
nyagasani
nyigendamo
radiyo
bimbera
zazaga
tubyumva
kigira
barakoze
baramubaza
twigira
bamu
Goma
abami
Nsabimana
kubibuka
birukanka
oncle
milices
Nko
tukicara
yashoboraga
biti
batemaguye
intama
yaka
sinarinzi
M.D.R
nkuku
kigega
atarapfa
amalisti
hatuye
ibere
ticket
ndarya
va
hutu
bigoye
kubohoza
Bariya
Babiciye
ingo
jandarumeri
twabuze
segiteri
urya
ibyawe
imiyoborere
yi
nyifite
nisubirira
signe
ukibaza
Maranyundo
bazamuka
nabanza
programme
basaba
badapfa
bishimye
bamuroshye
nibutse
akabivuga
twavuga
umunyu
urakoze
uwaza
bapadiri
kubibabwira
yasize
twashatse
nagezeyo
kunsaba
tubura
ahakana
Kacyiru
interamwe
ungana
amagerenade
Tugera
conseil
Classe
bizagira
habanje
nakumva
kuzamura
uretseko
abafurere
Rwagafirita
uraba
yifuza
inyoni
salon
Bajya
azagira
kigabo
ngelina
arimyoza
baryaga
birananira
abandagaye
ninjiye
ubuhe
bigize
ibitangaza
bambwiraga
baratangiye
mumenye
kumutera
batu
twashyizeho
umubwira
uregwa
kigeze
yarihishe
baduhishe
bahagaze
ibikapu
Jemes
ntabizi
bazanyica
turajyana
Se
itukura
kuzuza
Nkomeza
Arusha
twarahunze
nkorera
njyana
Urwo
Karekezi
serushyana
washaka
ubana
nkashaka
umurokore
basimbuye
ntumbi
Abashambo
nanirwa
indirimbo
Kayove
boutique
abarimu
éclat
nawo
ngo...ngo
amasengesho
sport
twanyuze
ntanubwo
Nabaga
souvenir
habuze
kigatema
yaziraga
akazajya
kubashyingura
zafashe
ra
basimbuka
amarorerwa
bantwara
general
bongera
mubaze
navuyemo
cyerekeye
akomeza
rupangu
cassette
mutubwira
hajyaho
kubisobanura
vision
inkoni
hatabaye
indengakamere
Uri
jeneral
tukabura
ubabwire
Mabanza
yayoboraga
mbimenya
Ntabyo
yara
igizwe
rutugu
bagahora
annexe
aca
ngahora
batemagura
Ibyabaye
bitameze
ikirenge
bisebe
Violette
kwanza
ndahazi
ndiwe
ugukomeza
mukagari
biturutse
turicara
udusobanurire
baramukundaga
ngamije
imbeho
bakomeretse
uhagarara
Buretse
nuyu
narakoze
plafond
kubyina
bayo
batavuga
eeeh
igihimba
ndahaguruka
kumuvuga
bagaragaje
kubikubwira
inkubita
arakomeza
Murumuna
en
bakatubwira
umuferege
navutse
byaganishaga
Ngerageza
ndyame
duhungutse
ntangiriro
makawa
ushatse
imihini
bahungiraga
mibanire
Bagera
twigisha
dusaba
iNtarama
kugihe
mwicare
inkuba
uwacitse
mayira
bakabivuga
zitangira
bakabana
bujye
akazu
babataye
igikara
ruriya
unite
sinakubwira
Italie
2000
Barimo
irarangira
ntibibaho
So
Dore
kubahamba
nazamutse
Mbabarira
guterefona
twongera
kwigishwa
biryo
tubone
ansanga
Tugiye
cyabayeho
muraza
wabaha
cyanditswe
usaba
Traumatisme
nyiri
Mukaba
bikiri
ubw'
Françoise
ngaruke
mubuzima
birambabaza
duhuriye
Yuko
uracyariho
bwatangiye
kumuzana
mwatubwira
abanyagisenyi
hagiyeho
burakomeza
yatubwira
bamufata
bivuze
Gendaneza
amakosa
twabyumvise
bagatwara
nshinga
nsubirayo
baramukubise
mubwire
havuyemo
bakabanagamo
quatrième
Nkangura
agataka
nyirabagenzi
cdr
twahuye
uturanye
ntege
twaravugaga
Rugenge
yarakoze
ry
nyumbakumi
kubyibagirwa
ugahita
citeau
imisatsi
byarakomeje
mungo
zivuga
furere
bumwice
bakorewe
Rwampara
abakiga
bazapfa
wabikoze
Rwagapfizi
bidasanzwe
urahire
kirere
Inzu
Kubona
niyiciye
ibyahabereye
uwanyiciye
uwishe
Tukaba
usigara
urugamba
bwonko
butare
strategies
masecteur
nshingano
Ntiyari
gushimira
wiga
kuvugwa
1998
Ukurikije
ukuburana
kiruhuko
uzasigara
yohereje
naraye
nubundi
Nyakabanda
bwihisho
birarangira
Mbasha
Ayo
ibitanda
barwaniraga
kwimuka
narishe
bugoye
Nterahamwe
kibaya
bagashaka
simba
zigiye
asigaye
bizashoboka
kurera
baramwica
mbitekerezaho
ndasohoka
bakamwica
ubuhinzi
nizera
ikingiki
Erega
batubwiraga
bugaruke
Tugezeyo
batapfuye
baramfashe
urubozo
hagarara
Prosper
abavuga
bwarakeye
musirikari
izongera
Bagomba
zombi
barongeye
habereye
secondaire
ibuye
bikananira
igihuru
masengero
guhimba
akwiye
nande
bakomeze
bukwiriye
ingeri
bwasaga
naringiye
tegeko
abtutsi
bakuramo
7
nihisha
inyamata
Twabaga
akibaza
Karinga
ncika
Ejo
Shyogwe
yabigize
abadamu
basirikari
tuze
'ese
epfo
babafunge
mibi
ndakubaza
umuganga
Abakoroni
tendance
baramuboha
zawe
nkomeze
ngahe
yahaje
turihisha
wafashe
utajya
inzika
Ikigega
dusobanukirwe
nyica
gitarama
aravuze
ababiligi
ubumuntu
babanzaga
nayoboraga
munota
yapfa
wahoze
batwiciye
ng'
twageraga
kaburimbo
Bica
nabagira
kaba
ndababona
commite
bampishe
kukwica
akivuga
bikunde
Diane
ikomeza
Mukecuru
ifata
ntako
rwacu
Iki
yakozwe
areba
bigire
Ndabireba
Koko
zitandukanye
abatatu
bike
Naje
amashati
igisimba
imishyikirano
kundasa
Cyahafi
ndabyihorera
bafunzwe
nakubwiraga
asubirayo
bakamanuka
kibirira
ninjira
Uriya
mpa
ukamubwira
Bigaragara
Yakundaga
bamufashe
AVEGA
kwegera
kumuha
ruhengeri
bararasa
kora
kubareba
bahera
sohoka
bibe
baramubura
rutarimo
expérience
banzi
Batanga
ahahoze
umwamikazi
kirya
ukomoka
Wavuze
turahaba
muzaba
kwikubita
kaguru
twasigaye
byanditswe
mubyara
nkunama
occasion
duhagarara
kwiyahura
Nkagenda
recepteur
gufashanya
byigeze
njyende
Kinazi
nibi
mpamaze
reopord
Odette
bafataga
ikiza
shakisha
riri
nabyumvise
Tanzaniya
atwara
Taba
arashaka
nkibuka
muvandimwe
umukonseye
nyirinkwaya
nagera
umushoferi
nahoze
wazaga
gutsinda
batugejeje
wabashaga
baratora
zacaga
mwibukiraho
nzaba
tubasha
miriyoni
ugereranyije
Ibindi
akubwira
Ndeba
umugiraneza
simuzi
Rutabana
umushyitsi
Muhamudu
twahamaze
kubaroha
aturebera
birarenze
gusangira
bakabicira
kumusozi
miti
sicyo
yabimbwiye
umupasiteri
Batangiye
yarigeze
tugasubira
Byabaga
butaka
amagara
baramanuka
wamara
birakomeza
Haguye
babareka
kurengera
Societe
namenya
abishi
uhunga
amaradio
tudashobora
nige
ibona
burakeye
tukirinda
murica
ugafata
bukora
hatarimo
byarananiye
muzabe
twaragize
batwicaje
nzajye
Nagarutse
twareraga
barahaguye
agatekerezo
munyice
irakorwa
kugushakira
kuyumva
twigaga
kubavuga
twirukanka
byahindutse
Bakamenya
udashaka
gukuramo
zaza
ndakira
Nshobora
kumugoroba
Abacitse
abanyiginya
kurushaho
bataza
kumanywa
ndiyicarira
mfashe
ibitenge
kuturinda
kubata
runini
benegihugu
ibigo
twagombaga
unyuze
usubire
ntagire
abagiraneza
bafatanye
aramujyana
kutugeraho
barataka
nibarangiza
bakabavumbura
tout
rwayo
2020
baramureka
Kayiranga
tuve
hapfa
kundega
L'
agata
bayitema
ikiniga
yakwibagirwa
ibanze
Burira
nabonanye
uramutse
nishimye
kumucira
umujepe
bantera
barira
babatwikira
rwango
bampaye
igendere
Kabagabo
Mudasomwa
bamushoreye
Iryo
uragira
byakozwe
yarambeshye
kurwanira
inkoko
bafunze
nakujyana
amanama
ndamubona
umukristu
imprimerie
yakongera
akagaruka
afatanyije
yarafite
barwanya
ntitwamenya
abaministri
itamba
baramuhaye
usigare
mupolisi
Serubuga
bizima
hantera
tubivuga
cyagiye
haguruka
iraguye
budafite
umuboyi
zisanga
noheri
ababikoze
Nabwo
nshobore
twabigenza
dushyiraho
ntiryumvikana
arinjira
barenze
umuzamu
ashakisha
Mukobanya
nani
barindaga
hakubwira
babuze
nkagerageza
ntitwabona
suis
wangiriye
batamfata
bimubwiye
mpera
kumwumvisha
batwicire
bushobozi
ukagerageza
wicaga
cumbi
bahaye
ize
wizera
ibikoko
Nukuvuga
umubona
na...na
igifite
basangiye
kutu
kuguru
ukwakane
twarabanaga
imishinga
databukwe
ibaruwa
bavukanaga
barazamuka
kubeshya
naramubwiraga
uwimana
prefecture
akabazo
Tuva
ndya
nsi
kunsenyera
yonka
zayo
barebye
burugumesitiri
imikoranire
principale
bujumba
bankubise
arambuye
Ayirwanda
gisozi
ngaba
banyiciye
bote
ubumuga
barasimbutse
bakambura
nzabigukorera
Intara
4
bombi
kwitura
ntawamenya
kugama
namwita
abanyaruhengeri
kati
mpite
Nagira
sinzongera
nzoka
akemera
bankubita
kumbeshyera
Ngize
bagakomeza
mbabona
intandaro
volant
kuganza
byatewe
yateye
bakwiciye
kinyejana
batewe
yahungiye
wabyumvise
twishe
muganira
cyaro
Odetta
ukwacumi
politiki
itandukanirizo
Haba
Sindikubwabo
nkeneye
twinjira
batabashije
inkokora
amase
mbajijije
nibashaka
bagatinya
Azana
bashyizwe
bicanyi
Cyari
biranshobera
bicana
bakore
igifaransa
bitavuze
Nzaramba
gishimishije
Ukagenda
Léonard
banazemo
model
nizeye
bimenyetso
yinjiye
twagendaga
ubukungu
amushyira
Kayihura
byagendaga
kuzabaho
byakunda
akirukanka
Reba
abanyarwa
abajya
kunganira
Nyogokuru
Niga
11
Mureke
buzarebwa
ndaha
uwakoze
batamwica
yagarutse
nabana
Vermerie
babuhaye
ashinga
yaraboze
umugongo
basenga
nirirwa
yagwaga
Nkababwira
nasabye
ibaho
francois
nasohotse
wakoreraga
yakubwiye
arasohoka
kireba
Barangiza
Ahandi
nabayemo
koroherwa
baramujyana
tubireba
Ninde
mugutabara
universite
ça
Evode
bimane
bikagera
twifitiye
ibyemezo
twahungiye
géneration
nkagera
icyuya
mutubwiye
umutwa
abiru
iraba
tukubaza
zi
liberté
mwajyaga
Eee
tugasanga
batabonye
ndege
twivuye
batangiriye
bajemo
Mvuye
Ejobundi
ikusanyamakuru
mugume
gaturika
Urupfu
bansange
nararoraga
wanjyanye
twashoboraga
ndabwira
mpitamo
atitira
kizima
Itariki
yarangiza
babaziza
y
ababyita
Turagiye
Diprome
mubo
Ouganda
napfushije
nsimbuka
bakabanza
yaciye
ikongera
umutumba
ikorosi
abagizi
turishima
iki
ababiteye
Giramata
Kadahwema
nagiyemo
Ibaze
tuka
gutunga
Bageraga
malariya
mbashyira
zuzuye
GP
hagaragara
batyo
badukuriye
bakajyana
intuze
mfitiye
bamuzi
baramutwara
igitaka
uhatuye
naragendaga
yabonetse
Ngezeyo
kitajya
Ibibanda
bikomera
barabatwika
Izina
koroha
iyubu
Babanje
kuyobora
babikira
irondakoko
uburinzi
atayizi
ankubise
dossier
atariho
uve
kubyikuramo
bitwaye
dusobanurire
kwirwanaho
radion
gupta
kuvangura
ndabimubwira
baratwakira
Gufungwa
baratanzwe
Tukajya
byaragaragaraga
ubwambere
MUSINGA
kuya
kumusanga
niyunge
cyemezo
ukubeshya
aracyari
bagaca
uruhande
mperukana
uburozi
mbaho
Kigabiro
dini
mpava
afunze
narabikoze
irangira
Eeeh
bahereye
nararaga
bigorana
cyabaga
warokotse
bakecuru
kubonera
ivuriro
ivuga
mashuli
Akumva
agasabune
garaje
bubaye
bubashe
mu...mu
adjoint
rurerure
eee
ziravuga
umugaragu
ndabyanga
nararangije
Bakaza
gakomeye
ubuguru
Prezida
akareba
Yaraje
Camp
kwiba
tubakuramo
bushya
nurangiza
usanzwe
Francine
zicaga
mwanda
kubimenyera
waragize
inkumi
Abajandarume
uruho
Ngelina
twanyuzemo
naririwe
umuzi
Ugereranyije
Bagerageza
tubyibuka
twibanire
ukimara
Gashora
duhaguruke
umutwaro
ntabwo...ntabwo
tuzakomezanya
basohotse
nkabireba
abasha
amashanyarazi
byabigizemo
nohereje
Sahara
yanyuze
rugema
izana
................
ubura
kumusaba
ukabaho
yongorera
abanyabwenge
hasanzwe
akato
diplôme
bamuhaye
bavamo
ikirego
Muhabura
kwibana
guhishira
Urashaka
abakurambere
dutwara
kurenza
yagikoreye
Joseph
iry'
Sinakubwira
nitugera
mukabana
Munsi
atubwiye
parlementaire
Twagiye
afitemo
Jya
wavutse
twikubise
haguyemo
rindi
Yahise
twabonanye
ihagaze
adashaka
kubarasa
bagire
yakagombye
nkaha
bindenze
turegera
mwendo
bic
koroshya
urubyaro
turamwica
gushyingurwa
uhageze
mbitekereje
perdu
akampa
ugaruke
Abasinga
icanyi
bwagenze
twavanyemo
majorité
bagere
kubitekereza
Yenda
ibisigazwa
Imvura
Nyabingi
guhangana
Wagiye
abihayimana
ndakomanga
imyuga
nyirakuru
batagomba
ntagira
kuhakora
imyumvire
Nyamure
babazana
bararangije
zakoze
turahagurutse
Bivuga
arabizi
Kongo
batoragura
tukivuga
isafuriya
tubabwire
Manueli
inshinge
ibyacu
nifuzaga
badashaka
ndwara
inabi
yagenda
zashize
Hafi
sinashoboye
mushyashya
nkoresha
Gereza
twahavuye
barakomanze
4
rubavu
yarabuze
watwigishaga
Marie
bimbabaza
Jenocide
wavukiye
Iteka
nimvuga
twigana
bacukura
kigera
préfet
muhagaze
ubimubwira
odetta
rimeze
baturimo
kwishima
atagira
kikaza
bukoroni
avega
nabyuke
dukurikije
naze
nzoga
ucecetse
Sinari
ikitso
ziragenda
abayishakaga
ncumbagurika
ntibyigeze
zamaze
Uzi
pistolet
nturanye
werurwe
byamaze
naravukiye
wakunda
umukire
nice
yazanye
cyapa
naramubonye
iwange
nahawe
wemera
ukwigisha
secteurs
wabisobanuye
Munyagishali
urugomo
hagira
ibisanzwe
basanganywe
ndakeka
bagasa
ibitoki
hitwaga
byaragenze
abafunzwe
arabyemera
bagana
byagejeje
rwaba
simusiga
vincent
kuhaguma
narenzaho
bagatema
udatanze
ukampa
abaho
kugirira
ubwacu
ujyane
kimodoka
Tukiri
narinziko
kagame
kunyunganira
ibisimba
babise
hahita
Buri
pression
atwite
narabonye
barasaka
batekereza
nkabasha
Bituma
zihagije
barinde
karanyica
wabivuze
vice
Gasasira
barazamutse
twagumye
bandika
gutandukana
Bukavu
turangije
bamuhe
unaniwe
bituruka
Bambwira
mpagera
yerekana
bahatwitse
Etienne
age
Kugenda
nzagerayo
kubazana
bamutsinze
baraho
bubatse
waturutse
ihuriweho
ruzaba
twiga
kurota
urusengero
atekereza
yarwara
nitumara
yabibabwira
ikanombe
uhashinzwe
nihishaga
ntwaye
babimbwiye
Tuba
'ibi
ndataha
abanyu
muziranye
Nsengiyaremye
abaministiri
kizaba
yavuzeko
murubingo
ukwihangana
bahite
ukuruta
yanyigishije
Yuhi
bamukurura
kuyitanga
kukugora
mubikorwa
tunanirwa
agatima
bakuraho
babicishije
wahageze
ubuvivi
abakecuru
babasha
akamukubita
twicara
bushingiye
kubatemagura
abene
batwita
ikigage
Evariste
ingingo
nagerageje
tubizi
Akimara
gihita
yatwaye
gusamba
banyakubahwa
akunze
yareba
uzapfa
tumwe
zivuye
mdr
isenywa
muzindi
twongere
twemera
gake
apana
nanga
ishinzwe
bihuriye
twaramanutse
yakoresheje
bavukiye
twishyize
tugendana
bosco
s'ukuvuga
mugihugu
Veneche
utuze
bakigenda
Yitwaga
madamu
direct
nyamata
wabibonye
namara
bakugiriye
utapfuye
abashe
byagombaga
urira
dutangiye
maboko
gutongana
F.A.R.G.
batangiraga
militaire
negeranya
abanya
bazashobore
ungiriye
kiragera
ko...mbese
inkweto
izuru
batuyemo
izabaho
Béatrice
bizaruhanya
Yahaya
kunkorera
utya
banyakibuye
uyobora
kibi...kibi
angelina
gukomanga
aratwakira
ushake
munyeshema
gihiga
bakabwira
babyemera
1999
ubivuga
ndayirangiza
bucya
inyota
amabati
ambwiye
ibiganiro
je
baho
1974
babikora
yohereza
minadef
nkamwumvisha
impinja
wambyaye
tukimara
nyoni
usabe
bitazongera
nduzi
nkinguye
biryogo
byahereye
baratujyana
benewanyu
wambaye
barabihimbye
Akagari
rugi
Tubona
gerenade
arabyanga
bibereye
kwicisha
guido
duse
Nkazajya
bariyishe
yatwigishije
agashinyaguro
ikifuzo
Abategetsi
kigero
gusesera
oscari
babeshyera
securite
Tugize
ukugirango
twarishe
yazo
Ujya
kungura
ngorane
abamo
irashize
Barabishe
twasabye
hagomba
mwinshi
bingoye
kumufungura
byumvikana
Bigejeje
ntabare
iburayi
ru
kumwegera
namuha
Jari
gakeya
joseph
simbazi
baduhemukiye
ntibabashe
Tugenda
ataka
yigishaga
nagendagamo
rugamba
thomas
kota
gutira
mumanuke
byanyu
bakamubwira
imyambi
riyetona
kubashakira
siho
Florence
abacamanza
Le
Murebwayire
umwenda
biraruhije
ukwacu
higeze
Ngahita
zibaho
Ruguru
